Latitude ,Longitude ,desirability ,connectedness ,population (rough)
41.871608050522994,-87.74517217791391,0.4,0.4,0.409
41.88684830347631,-87.80317598719213,0.5,0.5,0.545
41.88715939826551,-87.78366103293801,0.5,0.4,0.500
41.984294057828016,-87.83802598504772,0.6,0.7,0.364
41.88322001293653,-87.62618878473234,1.0,0.9,0.909
41.875567625950715,-87.63172207547264,0.9,0.8,0.682
41.89118929406765,-87.64757831015247,0.8,0.7,0.636
42.06398654414921,-87.68561725654831,0.5,0.4,0.409
41.961486633040835,-87.74361697430824,0.4,0.4,0.455
41.8218151964997,-87.62146281101369,0.5,0.5,0.500
41.79541826211501,-87.63116917003116,0.6,0.5,0.545
41.88432109621861,-87.70615542049478,0.5,0.5,0.500
41.750412342729696,-87.62517835384935,0.4,0.5,0.591
41.91065458056037,-87.64917726687139,0.8,0.6,0.545
41.81033813281231,-87.63102579710096,0.5,0.5,0.545
42.04771009459835,-87.68354292586837,0.6,0.5,0.455
41.94702865537701,-87.6747361074464,0.7,0.5,0.591
41.854279630327355,-87.69482291545437,0.5,0.4,0.500
41.88573698625938,-87.63088601833961,1.0,1.0,1.000
41.88480886783524,-87.62781338044591,1.0,0.9,0.955
42.03345571051573,-87.67953792271051,0.5,0.4,0.409
41.87388872444464,-87.725624930077,0.4,0.4,0.455
41.952940261723505,-87.72917726558204,0.5,0.5,0.500
41.85790770843142,-87.6691601248801,0.6,0.5,0.545
41.780129716720246,-87.61554588356856,0.4,0.4,0.409
41.795176653771136,-87.61832410779981,0.5,0.5,0.455
42.05416022489172,-87.68356032638904,0.5,0.4,0.409
41.851924714963396,-87.74534200985961,0.4,0.4,0.409
41.973453322879514,-87.65852996352429,0.7,0.6,0.636
41.888967933815984,-87.63397336028807,0.9,0.8,0.727
41.89667121282868,-87.62817635256233,0.9,0.8,0.773
41.882695018498964,-87.63385352993139,0.9,0.8,0.727
41.96425415994733,-87.65773404557505,0.7,0.6,0.636
41.8869875216134,-87.79378335175879,0.5,0.5,0.500
41.7866135510346,-87.73795637168769,0.7,0.6,0.364
41.89607523740354,-87.65521427917491,0.8,0.7,0.636
41.87872328348997,-87.63373997596631,0.9,0.8,0.773
41.9182165680886,-87.65264430600404,0.8,0.6,0.591
41.88557678872635,-87.65212799206752,0.8,0.7,0.636
41.88716322654387,-87.75498649428108,0.4,0.4,0.409
41.780308767768915,-87.6058574174785,0.4,0.4,0.364
42.0010733596017,-87.6610607008597,0.6,0.5,0.500
41.876908340423775,-87.62820914456076,1.0,0.9,0.909
41.874039244054394,-87.62747911770376,0.9,0.8,0.818
41.98350728784708,-87.8593877016713,0.6,0.7,0.318
41.86740495963631,-87.62658988700281,0.9,0.7,0.727
41.96620994947778,-87.69411112481461,0.5,0.5,0.500
41.87588563477907,-87.65945550927005,0.8,0.7,0.591
41.87442550900997,-87.70597829539031,0.4,0.4,0.455
41.93813166977897,-87.71235935057341,0.5,0.5,0.500
42.04165464471751,-87.68160198666094,0.5,0.4,0.409
41.78053433456899,-87.63100044907034,0.4,0.5,0.455
41.871563004328266,-87.66954322799872,0.6,0.5,0.545
